"","Gene","Gini"
"1","ENSG00000165215",12.6142009175232
"2","ENSG00000233834",9.85572926045105
"3","ENSG00000184454",5.96877821295943
"4","ENSG00000172731",4.90886765310637
"5","ENSG00000233539",4.88510148020008
"6","ENSG00000124116",4.31524446094571
"7","ENSG00000102384",4.27959150930511
"8","ENSG00000042317",4.04626379500348
"9","ENSG00000179403",3.97244135177434
"10","ENSG00000163762",3.35408984666481
"11","ENSG00000101843",3.34936310915267
"12","ENSG00000171155",3.32415670848325
"13","ENSG00000166681",3.32268701927062
"14","ENSG00000186416",3.17018502831062
"15","ENSG00000101935",3.14011591796503
"16","ENSG00000042088",3.13438555150203
"17","ENSG00000169976",2.77423253007912
"18","ENSG00000082458",2.67519023910227
"19","ENSG00000114127",2.5385444359393
"20","ENSG00000283098",2.53062681691291
"21","ENSG00000160862",2.49873057057889
"22","ENSG00000172465",2.49869521474603
"23","ENSG00000197180",2.35183022210195
"24","ENSG00000179387",2.33890640028516
"25","ENSG00000116604",2.32909667184735
"26","ENSG00000005022",2.29741986348502
"27","ENSG00000213722",2.24170577166156
"28","ENSG00000172159",2.23684363271116
"29","ENSG00000211460",2.23250316100984
"30","ENSG00000101457",2.16901899338153
"31","ENSG00000197355",2.12893875265655
"32","ENSG00000168301",2.10041998150083
"33","ENSG00000177427",2.05430299980673
"34","ENSG00000196422",2.01992541425283
"35","ENSG00000117305",2.01041753945441
"36","ENSG00000168447",2.002947653872
"37","ENSG00000094841",1.98274771501675
"38","ENSG00000102316",1.97674554186077
"39","ENSG00000188732",1.95234802373694
"40","ENSG00000126953",1.94327689609347
"41","ENSG00000133131",1.9289921933829
"42","ENSG00000033011",1.85073366217452
"43","ENSG00000198890",1.82042283731444
"44","ENSG00000091527",1.81260068568348
"45","ENSG00000139055",1.79605985665843
"46","ENSG00000176473",1.74215618049277
"47","ENSG00000007952",1.68351688859127
"48","ENSG00000134258",1.67412417978362
"49","ENSG00000131724",1.66820933759051
"50","ENSG00000004059",1.6340170424787
"51","ENSG00000165661",1.6164712732947
"52","ENSG00000177694",1.5790139366849
"53","ENSG00000181929",1.57398391656545
"54","ENSG00000109016",1.55287766516134
"55","ENSG00000145919",1.54887747917292
"56","ENSG00000181704",1.53728666483257
"57","ENSG00000101911",1.53030158049842
"58","ENSG00000066422",1.51934738447188
"59","ENSG00000147533",1.51310298455774
"60","ENSG00000134716",1.50583554159617
"61","ENSG00000005893",1.50286452204327
"62","ENSG00000184117",1.48814893781174
"63","ENSG00000138246",1.47195564387539
"64","ENSG00000125351",1.45756045236419
"65","ENSG00000126903",1.4314981735927
"66","ENSG00000109180",1.43095745304421
"67","ENSG00000117036",1.4023650551627
"68","ENSG00000147164",1.39122286698106
"69","ENSG00000137509",1.38126884550956
"70","ENSG00000172031",1.36181692629377
"71","ENSG00000132801",1.35527673557844
"72","ENSG00000163531",1.32703675850649
"73","ENSG00000181409",1.32204450529129
"74","ENSG00000126882",1.24735621881427
"75","ENSG00000115252",1.24427424585284
"76","ENSG00000141458",1.23110284994462
"77","ENSG00000134109",1.23076903371033
"78","ENSG00000197021",1.21280974413675
"79","ENSG00000185825",1.1878905796031
"80","ENSG00000155008",1.17220069292718
"81","ENSG00000165795",1.17010763895876
"82","ENSG00000185222",1.16987497375761
"83","ENSG00000128609",1.16403880750192
"84","ENSG00000080561",1.12194801829253
"85","ENSG00000105518",1.11232632060605
"86","ENSG00000102401",1.09352193220531
"87","ENSG00000184990",1.08275286257729
"88","ENSG00000160293",1.05167680727465
"89","ENSG00000123575",1.04869979267144
"90","ENSG00000125962",1.00892247855389
"91","ENSG00000167081",1.00197309464051
"92","ENSG00000123643",1.00080443515979
"93","ENSG00000124429",0.994354932149743
"94","ENSG00000018610",0.973170402572787
"95","ENSG00000180998",0.918764079799335
"96","ENSG00000149809",0.91751697167187
"97","ENSG00000187239",0.914812101662033
"98","ENSG00000119509",0.894765905043853
"99","ENSG00000196507",0.893235837376831
"100","ENSG00000124942",0.886888138439472
"101","ENSG00000175581",0.884802161476081
"102","ENSG00000106077",0.87526891656907
"103","ENSG00000170477",0.856789483885989
"104","ENSG00000006042",0.837815521490434
"105","ENSG00000124831",0.834980544067471
"106","ENSG00000187546",0.827715669308078
"107","ENSG00000101811",0.821059866468683
"108","ENSG00000137691",0.793483100886523
"109","ENSG00000137274",0.785944487993245
"110","ENSG00000116857",0.784874019831477
"111","ENSG00000133138",0.784476829866146
"112","ENSG00000176945",0.783558568442857
"113","ENSG00000188428",0.781255211644241
"114","ENSG00000148384",0.780361537144397
"115","ENSG00000001497",0.778718024318152
"116","ENSG00000160294",0.771982888223837
"117","ENSG00000182512",0.770499971926709
"118","ENSG00000105135",0.768135354520848
"119","ENSG00000167397",0.765137491509532
"120","ENSG00000116752",0.763667399834272
"121","ENSG00000260027",0.753665047964274
"122","ENSG00000171004",0.728268425108501
"123","ENSG00000204386",0.72224896108288
"124","ENSG00000133134",0.714292296289282
"125","ENSG00000077721",0.713287182173184
"126","ENSG00000143156",0.681524275532266
"127","ENSG00000127125",0.680388740740204
"128","ENSG00000101464",0.678942795569423
"129","ENSG00000231312",0.67433752827006
"130","ENSG00000213639",0.671546015113089
"131","ENSG00000099308",0.671371752607417
"132","ENSG00000174600",0.670472299492976
"133","ENSG00000180964",0.668261406092224
"134","ENSG00000171488",0.659180233457339
"135","ENSG00000108175",0.658391601232858
"136","ENSG00000188419",0.65251263968016
"137","ENSG00000179958",0.642877580815727
"138","ENSG00000100823",0.641028523597238
"139","ENSG00000158290",0.631062719217787
"140","ENSG00000196199",0.628860964362645
"141","ENSG00000153130",0.6223891172027
"142","ENSG00000140025",0.605511874306189
"143","ENSG00000025708",0.592927572180031
"144","ENSG00000182890",0.588014297958398
"145","ENSG00000116266",0.587850122379724
"146","ENSG00000244398",0.57961460024289
"147","ENSG00000131475",0.578126690578922
"148","ENSG00000102362",0.574287502213668
"149","ENSG00000163406",0.571803855014392
"150","ENSG00000102393",0.570977712594326
"151","ENSG00000248092",0.570157497023043
"152","ENSG00000156831",0.561647336248899
"153","ENSG00000172315",0.556752603069029
"154","ENSG00000141540",0.54520878331265
"155","ENSG00000203706",0.543483341884047
"156","ENSG00000141506",0.53925420876955
"157","ENSG00000103507",0.537498128003936
"158","ENSG00000102547",0.535409548955247
"159","ENSG00000101882",0.533954451979418
"160","ENSG00000160710",0.533656644949043
"161","ENSG00000100271",0.532099867494817
"162","ENSG00000167965",0.531377782012645
"163","ENSG00000197008",0.530346625788311
"164","ENSG00000084623",0.530035890179584
"165","ENSG00000119906",0.524533340830739
"166","ENSG00000137992",0.518031986527997
"167","ENSG00000178802",0.517778836316129
"168","ENSG00000104774",0.517308026994011
"169","ENSG00000069424",0.514798058290009
"170","ENSG00000185515",0.511709858100395
"171","ENSG00000177663",0.511366632918431
"172","ENSG00000092094",0.509739907579004
"173","ENSG00000084112",0.507098062045989
"174","ENSG00000259153",0.505124515329564
"175","ENSG00000203950",0.503392065685868
"176","ENSG00000129682",0.500154935536351
"177","ENSG00000186106",0.496806743466135
"178","ENSG00000133739",0.496103949737381
"179","ENSG00000166526",0.49263065444781
"180","ENSG00000148840",0.487737373488463
"181","ENSG00000118363",0.485307907103331
"182","ENSG00000115355",0.484318448592419
"183","ENSG00000137700",0.480668864792046
"184","ENSG00000118096",0.480363438126565
"185","ENSG00000198960",0.476266634088442
